State_Abv,State,Elasticity_Score,FTE_Predicted_Margin,Wiki_Margin,FTE_Wiki_DIFF
NE-2,"Nebraska, 2nd",1.06,-3.24,-6.50,3.26186400
ME-1,"Maine, 1st",1.25,-20.98,-23.09,2.10587000
CO,Colorado,1.09,-12.03,-13.50,1.46857700
MD,Maryland,0.87,-31.79,-33.21,1.41623300
LA,Louisiana,0.93,18.75,18.61,0.13712290
GA,Georgia,0.84,-0.96,-0.24,-0.71938200
NE,Nebraska,1.02,18.30,19.06,-0.76054160
IL,Illinois,0.98,-18.13,-16.99,-1.14288700
KS,Kansas,1.04,13.46,14.65,-1.18689960
CA,California,0.96,-30.51,-29.16,-1.34670000
AK,Alaska,1.07,8.68,10.06,-1.38435639
MA,Massachusetts,1.17,-35.36,-33.46,-1.89548400
DC,"Washington, D.C.",0.82,-88.81,-86.75,-2.05691100
MN,Minnesota,1.01,-9.22,-7.11,-2.11358270
MS,Mississippi,0.79,14.41,16.54,-2.12599020
AZ,Arizona,1.07,-2.62,-0.31,-2.31080920
NM,New Mexico,1.09,-13.27,-10.79,-2.48286400
VA,Virginia,0.92,-12.60,-10.11,-2.49317700
NE-1,"Nebraska, 1st",0.97,12.17,14.92,-2.75069000
ME,Maine,1.17,-11.97,-9.07,-2.90004200
NC,North Carolina,0.94,-1.78,1.35,-3.12536590
NH,New Hampshire,1.28,-10.72,-7.35,-3.37355600
PA,Pennsylvania,0.97,-4.68,-1.16,-3.52449130
OR,Orgeon,1.07,-19.83,-16.08,-3.75337300
NV,Nevada,1.08,-6.21,-2.39,-3.81651080
TX,Texas,1.02,1.53,5.58,-4.05085173
SC,South Carolina,0.88,7.55,11.68,-4.12959556
VT,Vermont,1.23,-39.59,-35.41,-4.18386600
CT,Connecticut,1.09,-24.25,-20.03,-4.21865100
AR,Arkansas,1.02,23.09,27.62,-4.53025470
NJ,New Jersey,1.04,-20.48,-15.94,-4.53639900
WA,Washington,1.06,-24.31,-19.20,-5.10510000
IN,Indiana,1.00,10.91,16.06,-5.14744420
MI,Michigan,1.03,-8.06,-2.78,-5.28434100
AL,Alabama,0.81,20.16,25.46,-5.30452940
MO,Missouri,1.01,9.55,15.39,-5.83655660
FL,Florida,1.04,-2.48,3.36,-5.84207760
NE-2,"Nebraska, 3rd",1.03,47.03,53.02,-5.99084000
NY,New York,0.96,-29.39,-23.11,-6.28475200
UT,Utah,1.02,14.16,20.48,-6.31656120
IA,Iowa,1.13,1.49,8.20,-6.70621776
RI,Rhode Island,1.26,-27.65,-20.77,-6.88275900
DE,Delaware,0.90,-25.91,-18.97,-6.93926600
TN,Tennessee,0.98,15.89,23.21,-7.31709900
OH,Ohio,1.02,0.59,8.03,-7.43576845
WY,Wyoming,0.95,35.87,43.38,-7.50980720
OK,Oklahoma,0.93,25.50,33.09,-7.59204860
WV,West Virginia,1.10,31.26,38.93,-7.67030150
KY,Kentucky,1.00,18.22,25.94,-7.71529900
HI,Hawaii,1.15,-37.20,-29.46,-7.74452200
WI,Wisconsin,1.06,-8.39,-0.63,-7.75923150
ID,Idaho,1.10,22.65,30.78,-8.12856430
SD,South Dakaota,1.03,17.23,26.16,-8.92930100
ME-2,"Maine, 2nd",1.09,-1.61,7.44,-9.05227100
MT,Montana,1.05,6.48,16.37,-9.89342151
ND,North Dakota,1.11,22.24,33.36,-11.11963300